scenario,frame,changed_rgb_bytes
close,0000,0
close,0001,0
close,0002,8976
close,0003,8976
close,0004,0
close,0005,0
done,0000,0
done,0001,0
done,0002,0
done,0003,0
error,0000,0
error,0001,0
error,0002,0
error,0003,0
hidden,0000,0
hidden,0001,0
hidden,0002,0
hidden,0003,0
hidden,0004,0
loud,0000,0
loud,0001,0
loud,0002,8976
loud,0003,8772
loud,0004,0
motion,0000,0
motion,0001,0
motion,0002,0
motion,0003,0
motion,0004,0
rhythm,0000,0
rhythm,0001,0
rhythm,0002,5554
rhythm,0003,0
sustained-quiet,0000,0
sustained-quiet,0001,0
sustained-quiet,0002,0
sustained-quiet,0003,0
sustained-quiet,0004,3004
sustained-quiet,0005,0
touch,0000,0
touch,0001,0
touch,0002,0
touch,0003,0
touch,0004,0
touch,0005,0
wait,0000,0
wait,0001,0
wait,0002,0
wait,0003,0
