frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,audio_suppression
0,100,0,0,0,0.0000,478.00,0.00,0,0.003,1,off
1,400,0,3,2,1.0000,12.00,0.00,1,0.002,2,off
2,450,1,3,2,1.0000,12.00,0.00,1,0.002,2,off
3,500,0,3,2,1.0000,12.00,0.00,1,3.079,2,off
4,550,0,3,2,1.0000,12.00,0.00,1,0.001,2,off
5,600,1,3,2,1.0000,12.00,0.00,1,0.001,2,off
6,650,0,3,2,1.0000,12.00,0.00,1,1.433,2,service
7,700,0,3,2,1.0000,12.00,0.00,1,0.003,2,service
8,750,1,3,2,1.0000,12.00,0.00,1,0.003,2,service
9,800,0,3,2,1.0000,12.00,0.00,1,1.933,2,service
10,850,0,3,2,1.0000,12.00,0.00,1,0.006,2,service
11,900,1,3,2,1.0000,12.00,0.00,1,0.002,2,service
12,950,0,3,2,1.0000,12.00,0.00,1,1.912,2,service
13,1000,0,3,2,1.0000,12.00,0.00,1,0.002,2,service
14,1500,0,0,0,0.0000,478.00,0.00,0,0.002,2,none
15,1570,0,0,0,0.0000,478.00,0.00,0,0.002,2,none
16,1700,0,0,0,0.0000,478.00,0.00,0,0.002,2,none
17,1800,0,0,0,0.0000,478.00,0.00,0,0.002,2,none
18,2000,0,0,0,0.0000,478.00,0.00,0,0.004,2,none
19,2100,0,0,0,0.0000,478.00,0.00,0,0.003,2,none
20,2300,0,0,0,0.0000,478.00,0.00,0,0.003,2,none
