frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,1,0,1,0.0000,-454.00,0.00,0,0.369,2
1,520,1,1,1,0.6502,-151.00,15750.00,0,0.941,2
2,720,0,2,1,0.6502,-151.00,0.00,0,0.051,2
3,1220,0,3,1,1.0000,12.00,0.00,1,0.044,2
4,1240,1,3,1,1.0000,12.00,0.00,1,0.043,2
5,1260,1,1,1,0.3176,-306.00,-16500.00,1,0.618,2
6,1460,0,2,1,0.3176,-306.00,0.00,1,0.060,2
7,1960,0,0,1,0.0000,-454.00,0.00,0,0.020,2
8,1980,1,0,1,0.0000,-454.00,0.00,0,0.030,2
9,2000,1,1,1,0.6502,-151.00,15750.00,0,0.786,2
10,2200,0,2,1,0.6502,-151.00,0.00,0,0.056,2
11,2700,0,3,1,1.0000,12.00,0.00,1,0.044,2
12,2720,1,3,1,1.0000,12.00,0.00,1,0.041,2
13,2740,1,1,1,0.3176,-306.00,-16500.00,1,0.627,2
14,2940,0,2,1,0.3176,-306.00,0.00,1,0.058,2
15,3440,0,0,1,0.0000,-454.00,0.00,0,0.021,2
16,3460,1,0,1,0.0000,-454.00,0.00,0,0.028,2
17,3480,1,1,1,0.6502,-151.00,15750.00,0,0.833,2
18,3680,0,2,1,0.6502,-151.00,0.00,0,0.049,2
19,4180,0,3,1,1.0000,12.00,0.00,1,0.042,2
20,4200,1,3,1,1.0000,12.00,0.00,1,0.041,2
21,4220,1,1,1,0.3176,-306.00,-16500.00,1,0.625,2
22,4420,0,2,1,0.3176,-306.00,0.00,1,0.060,2
23,4920,0,0,1,0.0000,-454.00,0.00,0,0.027,2
24,4940,1,0,1,0.0000,-454.00,0.00,0,0.029,2
25,4960,1,1,1,0.6502,-151.00,15750.00,0,0.744,2
26,5160,0,2,1,0.6502,-151.00,0.00,0,0.049,2
27,5660,0,3,1,1.0000,12.00,0.00,1,0.041,2
28,5680,1,3,1,1.0000,12.00,0.00,1,0.040,2
29,5700,1,1,1,0.3176,-306.00,-16500.00,1,0.577,2
30,5900,0,2,1,0.3176,-306.00,0.00,1,0.060,2
31,6400,0,0,1,0.0000,-454.00,0.00,0,0.018,2
32,6420,1,0,1,0.0000,-454.00,0.00,0,0.029,2
33,6440,1,1,1,0.6502,-151.00,15750.00,0,0.794,2
34,6640,0,2,1,0.6502,-151.00,0.00,0,0.050,2
35,7140,0,3,1,1.0000,12.00,0.00,1,0.047,2
36,7160,1,3,1,1.0000,12.00,0.00,1,0.079,2
37,7180,1,1,1,0.3176,-306.00,-16500.00,1,0.596,2
38,7380,0,2,1,0.3176,-306.00,0.00,1,0.057,2
39,7880,0,0,1,0.0000,-454.00,0.00,0,0.020,2
40,7900,1,0,1,0.0000,-454.00,0.00,0,0.029,2
41,7920,1,1,1,0.6502,-151.00,15750.00,0,0.764,2
42,8120,0,2,1,0.6502,-151.00,0.00,0,0.051,2
43,8620,0,3,1,1.0000,12.00,0.00,1,0.041,2
44,8640,1,3,1,1.0000,12.00,0.00,1,0.040,2
45,8660,1,1,1,0.3176,-306.00,-16500.00,1,0.715,2
46,8860,0,2,1,0.3176,-306.00,0.00,1,0.054,2
47,9360,0,0,1,0.0000,-454.00,0.00,0,0.020,2
48,9380,1,0,1,0.0000,-454.00,0.00,0,0.029,2
49,9400,1,1,1,0.6502,-151.00,15750.00,0,0.808,2
50,9600,0,2,1,0.6502,-151.00,0.00,0,0.051,2
51,10100,0,3,1,1.0000,12.00,0.00,1,0.044,2
52,10120,1,3,1,1.0000,12.00,0.00,1,0.041,2
53,10140,1,1,1,0.3176,-306.00,-16500.00,1,0.608,2
54,10340,0,2,1,0.3176,-306.00,0.00,1,0.058,2
55,10840,0,0,1,0.0000,-454.00,0.00,0,0.020,2
56,10860,1,0,1,0.0000,-454.00,0.00,0,0.038,2
57,10880,1,1,1,0.6502,-151.00,15750.00,0,0.784,2
58,11080,0,2,1,0.6502,-151.00,0.00,0,0.053,2
59,11580,0,3,1,1.0000,12.00,0.00,1,0.047,2
60,11600,1,3,1,1.0000,12.00,0.00,1,0.044,2
61,11620,1,1,1,0.3176,-306.00,-16500.00,1,0.611,2
62,11820,0,2,1,0.3176,-306.00,0.00,1,0.064,2
63,12320,0,0,1,0.0000,-454.00,0.00,0,0.021,2
64,12340,1,0,1,0.0000,-454.00,0.00,0,0.030,2
65,12360,1,1,1,0.6502,-151.00,15750.00,0,0.821,2
66,12560,0,2,1,0.6502,-151.00,0.00,0,0.053,2
67,13060,0,3,1,1.0000,12.00,0.00,1,0.042,2
68,13080,1,3,1,1.0000,12.00,0.00,1,0.041,2
69,13100,1,1,1,0.3176,-306.00,-16500.00,1,0.590,2
70,13300,0,2,1,0.3176,-306.00,0.00,1,0.058,2
71,13800,0,0,1,0.0000,-454.00,0.00,0,0.022,2
72,13820,1,0,1,0.0000,-454.00,0.00,0,0.038,2
73,13840,1,1,1,0.6502,-151.00,15750.00,0,0.821,2
74,14040,0,2,1,0.6502,-151.00,0.00,0,0.055,2
75,14540,0,3,1,1.0000,12.00,0.00,1,0.042,2
76,14560,1,3,1,1.0000,12.00,0.00,1,0.040,2
77,14580,1,1,1,0.3176,-306.00,-16500.00,1,0.640,2
78,14780,0,2,1,0.3176,-306.00,0.00,1,0.056,2
79,15280,0,0,1,0.0000,-454.00,0.00,0,0.018,2
80,15300,1,0,1,0.0000,-454.00,0.00,0,0.028,2
81,15320,1,1,1,0.6502,-151.00,15750.00,0,0.750,2
82,15520,0,2,1,0.6502,-151.00,0.00,0,0.049,2
83,16020,0,3,1,1.0000,12.00,0.00,1,0.048,2
84,16040,1,3,1,1.0000,12.00,0.00,1,0.045,2
85,16060,1,1,1,0.3176,-306.00,-16500.00,1,0.634,2
86,16260,0,2,1,0.3176,-306.00,0.00,1,0.057,2
87,16760,0,0,1,0.0000,-454.00,0.00,0,0.019,2
88,16780,1,0,1,0.0000,-454.00,0.00,0,0.033,2
89,16800,1,1,1,0.6502,-151.00,15750.00,0,0.801,2
90,17000,0,2,1,0.6502,-151.00,0.00,0,0.051,2
91,17500,0,3,1,1.0000,12.00,0.00,1,0.042,2
92,17520,1,3,1,1.0000,12.00,0.00,1,0.040,2
93,17540,1,1,1,0.3176,-306.00,-16500.00,1,0.570,2
94,17740,0,2,1,0.3176,-306.00,0.00,1,0.058,2
95,18240,0,0,1,0.0000,-454.00,0.00,0,0.019,2
96,18260,1,0,1,0.0000,-454.00,0.00,0,0.032,2
97,18280,1,1,1,0.6502,-151.00,15750.00,0,0.863,2
