frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,0,0,0,0.0000,478.00,0.00,0,0.019,1
1,600,1,0,1,0.0000,-454.00,0.00,0,0.429,2
2,750,1,1,1,0.2511,-337.00,0.00,0,0.718,2
3,900,1,1,1,0.5000,-221.00,0.00,0,0.590,2
4,1050,1,1,1,0.7511,-104.00,0.00,0,0.899,2
5,1200,0,2,1,0.7511,-104.00,0.00,0,0.045,2
6,1650,0,3,1,1.0000,12.00,0.00,1,0.065,2
7,1750,1,3,1,1.0000,12.00,0.00,1,0.053,2
8,1900,1,1,1,0.7468,-106.00,0.00,1,1.117,2
9,2100,1,1,1,0.5000,-221.00,0.00,1,0.837,2
10,2300,1,1,1,0.2511,-337.00,0.00,1,0.486,2
11,2350,0,2,1,0.2511,-337.00,0.00,1,0.098,2
12,2800,0,0,1,0.0000,-454.00,0.00,0,0.019,2
13,2900,1,0,2,0.0000,478.00,0.00,0,0.229,3
14,3050,1,1,2,0.2511,361.00,-0.00,0,0.947,3
15,3200,1,1,2,0.5000,245.00,-0.00,0,0.615,3
16,3350,1,1,2,0.7511,128.00,-0.00,0,1.000,3
17,3400,0,2,2,0.7511,128.00,0.00,0,0.076,3
18,3850,0,3,2,1.0000,12.00,0.00,1,0.055,3
19,3950,1,3,2,1.0000,12.00,0.00,1,0.056,3
20,4100,1,1,2,0.7468,130.00,-0.00,1,0.858,3
21,4250,1,1,2,0.5000,245.00,-0.00,1,0.754,3
22,4400,1,1,2,0.2489,362.00,-0.00,1,0.414,3
23,4450,0,2,2,0.2489,362.00,-0.00,1,0.095,3
24,4900,0,0,2,0.0000,478.00,0.00,0,0.022,3
