frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,0,0,0,0.0000,478.00,0.00,0,0.020,1
1,600,1,0,1,0.0000,-454.00,0.00,0,0.409,2
2,750,1,1,1,0.2511,-337.00,0.00,0,0.847,2
3,900,1,1,1,0.5000,-221.00,0.00,0,1.134,2
4,1050,1,1,1,0.7511,-104.00,0.00,0,1.585,2
5,1200,0,2,1,0.7511,-104.00,0.00,0,0.067,2
6,1650,0,3,1,1.0000,12.00,0.00,1,0.062,2
7,1750,1,3,1,1.0000,12.00,0.00,1,0.063,2
8,1900,1,1,1,0.7468,-106.00,0.00,1,1.624,2
9,2100,1,1,1,0.5000,-221.00,0.00,1,1.096,2
10,2300,1,1,1,0.2511,-337.00,0.00,1,0.600,2
11,2350,0,2,1,0.2511,-337.00,0.00,1,0.074,2
12,2800,0,0,1,0.0000,-454.00,0.00,0,0.020,2
13,2900,1,0,2,0.0000,478.00,0.00,0,1.607,3
14,3050,1,1,2,0.2511,361.00,-0.00,0,0.948,3
15,3200,1,1,2,0.5000,245.00,-0.00,0,1.339,3
16,3350,1,1,2,0.7511,128.00,-0.00,0,2.365,3
17,3400,0,2,2,0.7511,128.00,0.00,0,0.133,3
18,3850,0,3,2,1.0000,12.00,0.00,1,0.106,3
19,3950,1,3,2,1.0000,12.00,0.00,1,0.110,3
20,4100,1,1,2,0.7468,130.00,-0.00,1,2.420,3
21,4250,1,1,2,0.5000,245.00,-0.00,1,1.565,3
22,4400,1,1,2,0.2489,362.00,-0.00,1,0.620,3
23,4450,0,2,2,0.2489,362.00,-0.00,1,0.113,3
24,4900,0,0,2,0.0000,478.00,0.00,0,0.025,3
