frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,usage_depth
0,100,0,3,2,1.0000,12.00,0.00,1,0.003,2,0
1,150,0,3,2,1.0000,12.00,0.00,1,0.002,2,0
2,350,0,3,2,1.0000,12.00,0.00,1,0.002,2,1
3,550,0,3,2,1.0000,12.00,0.00,1,0.004,2,2
4,750,0,3,2,1.0000,12.00,0.00,1,0.004,2,2
5,950,0,3,2,1.0000,12.00,0.00,1,0.004,2,1
6,1150,0,3,2,1.0000,12.00,0.00,1,0.003,2,2
7,1350,0,3,2,1.0000,12.00,0.00,1,0.002,2,2
8,1550,0,3,2,1.0000,12.00,0.00,1,0.002,2,2
9,1750,0,3,2,1.0000,12.00,0.00,1,0.002,2,2
10,1950,0,3,2,1.0000,12.00,0.00,1,0.002,2,2
11,2150,0,3,2,1.0000,12.00,0.00,1,0.002,2,0
