frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,usage_depth
0,100,0,3,2,1.0000,12.00,0.00,1,0.004,2,0
1,200,1,3,2,1.0000,12.00,0.00,1,0.471,2,0
2,350,1,3,2,1.0000,12.00,0.00,1,0.484,2,0
3,550,0,3,2,1.0000,12.00,0.00,1,0.118,2,0
4,750,0,3,2,1.0000,12.00,0.00,1,0.003,2,1
5,850,1,3,2,1.0000,12.00,0.00,1,0.505,2,1
6,1000,1,3,2,1.0000,12.00,0.00,1,0.482,2,1
7,1200,0,3,2,1.0000,12.00,0.00,1,3.068,2,2
8,1400,0,3,2,1.0000,12.00,0.00,1,0.003,2,2
9,1500,1,3,2,1.0000,12.00,0.00,1,0.134,2,2
10,1600,2,3,2,1.0000,12.00,0.00,1,0.128,2,2
11,1700,1,3,2,1.0000,12.00,0.00,1,0.002,2,2
12,1800,0,3,2,1.0000,12.00,0.00,1,0.002,2,2
13,2000,0,3,2,1.0000,12.00,0.00,1,0.004,2,2
14,2100,1,3,2,1.0000,12.00,0.00,1,0.151,2,2
15,2800,0,3,2,1.0000,12.00,0.00,1,0.129,2,2
16,3000,0,3,2,1.0000,12.00,0.00,1,0.003,2,2
17,3100,1,3,2,1.0000,12.00,0.00,1,0.003,2,2
18,3250,1,3,2,1.0000,12.00,0.00,1,0.003,2,2
19,3300,0,3,2,1.0000,12.00,0.00,1,3.861,2,1
20,3500,0,3,2,1.0000,12.00,0.00,1,0.004,2,1
21,3600,1,3,2,1.0000,12.00,0.00,1,0.003,2,1
22,3750,1,3,2,1.0000,12.00,0.00,1,0.004,2,1
23,3800,0,3,2,1.0000,12.00,0.00,1,2.863,2,0
24,4000,0,3,2,1.0000,12.00,0.00,1,0.003,2,0
25,4100,1,3,2,1.0000,12.00,0.00,1,0.006,2,0
26,4250,1,1,2,0.4893,250.00,-0.00,1,1.608,2,0
27,4300,0,2,2,0.4893,250.00,-0.00,1,0.002,2,0
28,4900,0,0,2,0.0000,478.00,0.00,0,0.002,2,0
