frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,usage_depth
0,100,0,3,2,1.0000,12.00,0.00,1,0.003,2,0
1,200,1,3,2,1.0000,12.00,0.00,1,0.493,2,0
2,350,1,3,2,1.0000,12.00,0.00,1,0.412,2,0
3,550,0,3,2,1.0000,12.00,0.00,1,0.139,2,0
4,750,0,3,2,1.0000,12.00,0.00,1,0.002,2,1
5,850,1,3,2,1.0000,12.00,0.00,1,0.479,2,1
6,1000,1,3,2,1.0000,12.00,0.00,1,0.389,2,1
7,1200,0,3,2,1.0000,12.00,0.00,1,3.227,2,2
8,1400,0,3,2,1.0000,12.00,0.00,1,0.002,2,2
9,1500,1,3,2,1.0000,12.00,0.00,1,0.128,2,2
10,1600,2,3,2,1.0000,12.00,0.00,1,0.172,2,2
11,1700,1,3,2,1.0000,12.00,0.00,1,0.002,2,2
12,1800,0,3,2,1.0000,12.00,0.00,1,0.003,2,2
13,2000,0,3,2,1.0000,12.00,0.00,1,0.002,2,2
14,2100,1,3,2,1.0000,12.00,0.00,1,0.183,2,2
15,2800,0,3,2,1.0000,12.00,0.00,1,0.178,2,2
16,3000,0,3,2,1.0000,12.00,0.00,1,0.003,2,2
17,3100,1,3,2,1.0000,12.00,0.00,1,0.002,2,2
18,3250,1,3,2,1.0000,12.00,0.00,1,0.004,2,2
19,3300,0,3,2,1.0000,12.00,0.00,1,3.391,2,1
20,3500,0,3,2,1.0000,12.00,0.00,1,0.003,2,1
21,3600,1,3,2,1.0000,12.00,0.00,1,0.003,2,1
22,3750,1,3,2,1.0000,12.00,0.00,1,0.003,2,1
23,3800,0,3,2,1.0000,12.00,0.00,1,2.678,2,0
24,4000,0,3,2,1.0000,12.00,0.00,1,0.002,2,0
25,4100,1,3,2,1.0000,12.00,0.00,1,0.001,2,0
26,4250,1,1,2,0.4893,250.00,-0.00,1,1.435,2,0
27,4300,0,2,2,0.4893,250.00,-0.00,1,0.003,2,0
28,4900,0,0,2,0.0000,478.00,0.00,0,0.003,2,0
