frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,usage_depth
0,100,0,3,2,1.0000,12.00,0.00,1,0.087,2,2
1,200,1,3,2,1.0000,12.00,0.00,1,0.081,2,2
2,300,2,3,2,1.0000,12.00,0.00,1,0.131,2,2
3,350,1,3,2,1.0000,12.00,0.00,1,0.086,2,2
4,400,0,3,2,1.0000,12.00,0.00,1,0.085,2,2
5,450,0,3,2,1.0000,12.00,0.00,1,0.085,2,2
6,500,1,3,2,1.0000,12.00,0.00,1,0.089,2,2
7,650,1,3,2,1.0000,12.00,0.00,1,0.093,2,2
8,700,0,3,2,1.0000,12.00,0.00,1,2.723,2,1
9,750,0,3,2,1.0000,12.00,0.00,1,0.097,2,1
10,800,1,3,2,1.0000,12.00,0.00,1,0.119,2,1
11,950,1,3,2,1.0000,12.00,0.00,1,0.082,2,1
12,1000,0,3,2,1.0000,12.00,0.00,1,3.198,2,0
13,1050,0,3,2,1.0000,12.00,0.00,1,0.082,2,0
14,1100,1,3,2,1.0000,12.00,0.00,1,0.085,2,0
15,1250,1,1,2,0.4893,250.00,-0.00,1,1.501,2,0
16,1300,0,2,2,0.4893,250.00,-0.00,1,0.098,2,0
17,2000,0,0,2,0.0000,478.00,0.00,0,0.025,2,0
