frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,usage_depth
0,100,0,3,2,1.0000,12.00,0.00,1,0.087,2,0
1,150,0,3,2,1.0000,12.00,0.00,1,0.113,2,1
2,200,0,3,2,1.0000,12.00,0.00,1,0.097,2,2
3,250,0,3,2,1.0000,12.00,0.00,1,0.088,2,2
4,300,0,3,2,1.0000,12.00,0.00,1,0.088,2,1
5,350,0,3,2,1.0000,12.00,0.00,1,0.097,2,2
6,400,0,3,2,1.0000,12.00,0.00,1,0.089,2,1
7,450,0,3,2,1.0000,12.00,0.00,1,0.083,2,2
8,500,0,3,2,1.0000,12.00,0.00,1,0.086,2,1
9,550,0,3,2,1.0000,12.00,0.00,1,0.082,2,2
10,600,1,3,2,1.0000,12.00,0.00,1,0.084,2,2
11,710,1,3,2,1.0000,12.00,0.00,1,0.089,2,2
12,720,0,3,2,1.0000,12.00,0.00,1,1.826,2,1
13,800,1,3,2,1.0000,12.00,0.00,1,0.090,2,1
14,910,1,3,2,1.0000,12.00,0.00,1,0.084,2,1
15,920,0,3,2,1.0000,12.00,0.00,1,3.170,2,0
16,1000,0,3,2,1.0000,12.00,0.00,1,0.089,2,0
17,1050,0,3,2,1.0000,12.00,0.00,1,0.103,2,0
