frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,usage_depth
0,500,0,3,2,1.0000,12.00,0.00,1,0.002,2,0
1,550,1,3,2,1.0000,12.00,0.00,1,0.468,2,0
2,620,0,3,2,1.0000,12.00,0.00,1,0.480,2,0
3,900,0,3,2,1.0000,12.00,0.00,1,0.004,2,1
4,950,1,3,2,1.0000,12.00,0.00,1,0.495,2,1
5,1020,0,3,2,1.0000,12.00,0.00,1,2.789,2,2
6,1300,0,3,2,1.0000,12.00,0.00,1,0.002,2,2
7,1350,1,3,2,1.0000,12.00,0.00,1,0.003,2,2
8,1410,1,3,2,1.0000,12.00,0.00,1,0.003,2,2
9,1460,0,3,2,1.0000,12.00,0.00,1,2.580,2,1
10,1800,0,3,2,1.0000,12.00,0.00,1,0.004,2,1
11,1850,1,3,2,1.0000,12.00,0.00,1,0.179,2,1
12,1920,0,3,2,1.0000,12.00,0.00,1,2.365,2,1
13,2200,0,3,2,1.0000,12.00,0.00,1,0.002,2,1
14,2250,1,3,2,1.0000,12.00,0.00,1,0.110,2,1
15,2320,0,3,2,1.0000,12.00,0.00,1,2.320,2,1
16,2600,0,3,2,1.0000,12.00,0.00,1,0.003,2,1
17,2650,1,3,2,1.0000,12.00,0.00,1,0.101,2,1
18,2720,0,3,2,1.0000,12.00,0.00,1,2.416,2,1
19,3000,0,3,2,1.0000,12.00,0.00,1,0.002,2,1
20,3050,1,3,2,1.0000,12.00,0.00,1,0.125,2,1
21,3120,0,3,2,1.0000,12.00,0.00,1,2.815,2,0
22,3400,0,3,2,1.0000,12.00,0.00,1,0.003,2,0
